Title
AOS89779 |Other|Australia|1960
AOS89785 |Culex pullus|Australia|1963
AOS89777 |Other|Australia|1960
ANW68990 |Culex|USA|2000
AAT92098 |Equus caballus|Morocco|1996
ALK02495 |Culex annulirostris|Australia|2000
AOS89758 |Other|Australia|1975
ANW69118 |Culex|USA|2000
AAQ00998 |Equus caballus|France|2000
ADM88863 |Other|India|1957
ABR19638 |Homo sapiens|South Africa|2000
AOS89776 |Other|Australia|1960
ADT91913 |Corvus|USA|1999
ADL27943 |Culiseta melanura|USA|2000
AFO64350 |Ornithodoros capensis|Azerbaijan|1970
BAD34489 |Mus musculus|USA|1999
AOS89782 |Culex annulirostris|Australia|1963
AMZ00436 |Hyalomma|Russia|1963
ANW69117 |Culex|USA|2000
ANW69730 |Culex|USA|2000
AAF18443 |Homo sapiens|USA|1999
AOS89762 |Culex annulirostris|Australia|1974
AOS89765 |Culex annulirostris|Australia|1974
ANW69483 |Culex|USA|2000
AOS89770 |Other|Australia|1963
AOS89760 |Culex annulirostris|Australia|1972
ADI33159 |Homo sapiens|Israel|2000
AOS89787 |Oriolus flavocinctus|Australia|1965
AAP22089 |Homo sapiens|Russia|1999
ABV22897 |Corvus brachyrhynchos|USA|2000
ANW68992 |Culex|USA|2000
ABU41789 |Other|South Africa|1989
AFO64351 |Aves|Azerbaijan|1967
ALK02493 |Equus caballus|Australia|1984
AOS89771 |Culex annulirostris|Australia|1978
ABR19636 |Homo sapiens|South Africa|1989
AOS89763 |Culex annulirostris|Australia|1974
AOS89766 |Culex annulirostris|Australia|1974
ANW69484 |Culex|USA|2000
ADU76249 |Culex pipiens|USA|2000
AAP22086 |Homo sapiens|Russia|1999
AAP20887 |Culex univittatus|Kenya|1998
BAD34491 |Mus musculus|USA|1999
AOS89786 |Culex annulirostris|Australia|1963
ADL27941 |Culex salinarius|USA|2000
ANW69729 |Culex|USA|2000
AMZ00438 |Homo sapiens|India|1988
ABU54838 |Corvus brachyrhynchos|USA|2000
CAL49454 |Culex annulirostris|Portugal|1969
ANW69089 |Culex|USA|2000
ADM88865 |Other|Senegal|1979
AOS89761 |Culex annulirostris|Australia|1974
BAD34490 |Mus musculus|USA|1999
AIQ82561 |Equus caballus|South Africa|1977
ADL27942 |Culex pipiens|USA|2000
AOS89781 |Culex squamosus|Australia|1963
BAD34488 |Mus musculus|USA|1999
AMZ00435 |Culex quinquefasciatus|Madagascar|1988
ADL27940 |Culex salinarius|USA|2000
ADM88861 |Culex annulirostris|Australia|1960
ADU76251 |Culex pipiens|USA|2000
ABC40712 |Homo sapiens|India|1980
ADM88867 |Other|Central African Republic|1967
ANW69482 |Culex|USA|2000
ATN45389 |Culex poicilipes|Senegal|1990
AAP22088 |Dermacentor marginatus|Russia|1998
AOS89788 |Other|Australia|1978
ACJ36231 |Other|Japan|1999
ANW68991 |Culex|USA|2000
AAW81711 |Culex pipiens|Czech Republic|1997
AFO64352 |Aves|Azerbaijan|1967
ADI33161 |Homo sapiens|Israel|2000
AYV87261 |Aves|USA|2000
AOS89764 |Culex annulirostris|Australia|1974
ADZ96249 |Other|DRC|1958
AOS89774 |Other|Australia|1960
ADU76246 |Aedes vexans|USA|1999
AOS89769 |Other|Australia|1963
ADM88862 |Culex annulirostris|Australia|1991
ABY83187 |Rousettus leschenaultii|India|1968
AAP22087 |Homo sapiens|Russia|2000
ADN97107 |Homo sapiens|Israel|1953
ALK02496 |Culex annulirostris|Australia|2000
ANW69090 |Culex|USA|2000
AOS89783 |Culex squamosus|Australia|1963
AYV87282 |Aves|USA|2000
AFO64353 |Aves|Ukraine|1980
AOS89773 |Culex annulirostris|Australia|1960
ANW69116 |Culex|USA|2000
ADZ96247 |Other|South Africa|1958
AAF20205 |Culex pipiens|USA|1999
AOS89772 |Culex annulirostris|Australia|1999
ADN65133 |Other|Cyprus|1968
AOS89778 |Other|Australia|1960
ACI28533 |Corvus|USA|1999
ALK02494 |Homo sapiens|Australia|1991
ADU76252 |Culiseta melanura|USA|2000
AFO64356 |Homo sapiens|Russia|1999
ADM88866 |Other|Nigeria|1965
AAQ00999 |Homo sapiens|Tunisia|1997
AFO64354 |Culex vishnui|India|1955
AOS89767 |Culex annulirostris|Australia|1974
ABR19639 |Homo sapiens|South Africa|1958
ADM88864 |Culicidae|India|1957
